id,country_code
11724,ly
11725,ly
11726,ly
11727,ly
11728,ly
11729,ly
11730,ly
11731,ly
11732,ly
11733,ly
11734,ly
11735,ly
11736,ly
11737,ly
11738,ly
11739,ly
11740,ly
11741,ly
11742,ly
11744,ly
11745,ly
11746,ly
11747,ly
11748,ly
11749,ly
11750,ly
11751,ly
11752,ly
11753,ly
11754,ly
11755,ly
11756,ly
11757,ly
11758,ly
11759,ly
11760,ly
11761,ly
11762,ly
11763,ly
11764,ly
11765,ly
11766,ly
11767,ly
11768,ly
11769,ly
11770,ly
11771,ly
11772,ly
11773,ly
11774,ly
11775,ly
11776,ly
11777,ly
11778,ly
11779,ly
11780,ly
11781,ly
11782,ly
11783,ly
11784,ly
11785,ly
11786,ly
11787,ly
11788,ly
11789,ly
11790,ly
11791,ly
11792,ly
11793,ly
11794,ly
11795,ly
11796,ly
11797,ly
11798,ly
11799,ly
11800,ly
11801,ly
11802,ly
11803,ly
11804,ly
11805,ly
11806,ly
11807,ly
11808,ly
11809,ly
11811,ly
11812,ly
30718,ly
30719,ly
30720,ly
30721,ly
30722,ly
30723,ly
30724,ly
32786,ly
35517,ly
35518,ly
53619,ly
53620,ly
53621,ly
55727,ly
11813,us
11814,au
11816,us
11817,dz
11818,us
11819,us
11820,us
11821,us
11825,us
11826,us
11827,us
11828,us
11831,us
11832,us
11833,us
11834,us
11835,us
11836,us
11837,us
11838,us
11839,us
45964,us
52983,us
45965,us
52112,us
52853,us
11840,us
11841,us
11843,us
11844,us
56555,us
11846,us
11847,us
30725,us
11849,us
11850,us
11851,us
11853,us
11854,us
52854,be
11858,us
11860,us
11861,us
11862,us
11863,us
11864,us
11865,us
55517,om
11867,us
11872,au
11873,us
11874,fr
11876,us
11877,au
11879,us
11880,za
44713,tn
11881,us
11882,au
11885,us
11886,us
11887,ar
11888,ar
11890,na
11891,us
11892,us
11896,us
11897,us
11898,us
11899,ca
11900,us
11902,ca
11905,us
11906,us
11907,us
11908,us
11909,mn
11910,us
11912,us
11914,us
11917,us
11918,us
11919,us
11921,us
11922,au
11923,us
11924,us
11925,au
11928,au
11929,au
11930,au
11931,au
11932,au
11933,au
11934,au
11935,au
11936,au
11937,au
11938,au
11939,au
11940,au
11941,au
11942,au
11943,au
11944,au
11945,au
11946,au
11947,au
11948,au
11949,au
11950,au
11951,au
11952,au
11953,au
11954,au
11955,au
11956,au
11957,au
11958,au
11959,au
11960,au
11961,au
11962,au
11963,au
11964,au
11965,au
11966,au
11967,au
11968,au
11969,au
11970,au
11971,au
11972,au
11973,au
11974,au
11975,au
11976,au
11977,au
11978,au
11979,au
11980,au
11981,au
11982,au
11983,us
11984,us
11985,mx
11987,us
11988,us
52755,us
11998,us
11999,us
52649,au
12002,ma
12005,dz
12006,dz
12007,dz
12008,dz
12009,dz
12010,dz
12011,dz
12012,dz
12013,dz
12014,dz
12015,dz
12016,dz
12017,dz
12018,dz
12019,dz
12020,dz
12021,dz
44890,dz
12022,cl
12023,ru
35519,dz
12024,us
12025,cl
52855,us
12026,us
12029,us
12030,us
12031,br
12032,ar
12033,us
12034,au
12036,us
12040,us
12044,br
12045,cl
12046,us
12047,ca
12048,us
56431,at
30726,ru
12050,mx
12051,eg
12052,dz
30727,ru
44891,ma
44892,ma
44893,ma
44894,ma
12059,br
12060,na
12061,ru
12062,us
12064,ly
12066,us
12070,ly
12071,us
12073,mx
49715,cn
53489,si
47731,us
12076,ma
12077,au
12080,us
12081,us
53840,id
12082,us
12083,us
12084,dk
12089,om
12090,om
12091,om
12092,om
12093,om
12094,om
12095,om
12096,om
12097,om
12098,om
12099,om
12100,om
12101,om
12102,om
12103,om
12104,om
12105,om
12106,om
12107,om
12108,om
12109,om
12110,om
12111,om
12112,om
12113,om
12114,om
12115,om
12116,om
12117,om
12118,om
30728,om
12119,om
33990,om
33991,om
12120,om
12121,om
12122,om
12123,om
12124,om
12125,om
12126,om
12127,om
12128,om
12129,om
12130,om
12131,om
12132,om
12133,om
12134,om
12135,om
33992,om
30729,om
12136,om
12137,om
12138,om
12139,om
12140,om
12141,om
12142,om
